-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.00%       0.000us         0.00%       0.000us       0.000us       13.556s       383.67%       13.556s       13.556s           0 B           0 B           0 B           0 B             1  
                                        model_inference        11.44%        1.994s       100.00%       17.425s       17.425s       0.000us         0.00%        3.533s        3.533s           0 B        -112 B           0 B      -1.96 GB             1  
                                           MatMul8bitLt         5.75%        1.001s        74.98%       13.066s     518.480us       0.000us         0.00%        2.487s      98.708us           0 B           0 B     215.16 MB    -120.69 MB         25200  
                     bitsandbytes::int8_mixed_scaled_mm         5.38%     937.581ms        38.07%        6.633s     263.231us       0.000us         0.00%        1.703s      67.562us           0 B           0 B     222.42 MB      -4.72 GB         25200  
                           bitsandbytes::int8_scaled_mm         3.16%     550.914ms        21.08%        3.674s     145.797us       0.000us         0.00%        1.225s      48.629us           0 B           0 B     215.16 MB    -430.31 MB         25200  
                       bitsandbytes::int8_linear_matmul        10.34%        1.802s        11.47%        1.999s      79.342us        1.164s        32.94%        1.164s      46.184us           0 B           0 B     430.31 MB           0 B         25200  
                    bitsandbytes::int8_vectorwise_quant         8.75%        1.524s        29.97%        5.223s     207.253us      67.603ms         1.91%     784.879ms      31.146us           0 B           0 B     113.42 MB    -338.50 MB         25200  
Cijk_Alik_Bljk_I8II_BH_HAI_SAV_UserArgs_MT48x128x64_...         0.00%       0.000us         0.00%       0.000us       0.000us     504.830ms        14.29%     504.830ms      90.068us           0 B           0 B           0 B           0 B          5605  
Cijk_Alik_Bljk_I8II_BH_HAI_SAV_UserArgs_MT64x96x64_M...         0.00%       0.000us         0.00%       0.000us       0.000us     435.004ms        12.31%     435.004ms      51.731us           0 B           0 B           0 B           0 B          8409  
