-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.00%       0.000us         0.00%       0.000us       0.000us        8.157s       250.71%        8.157s        8.157s           0 B           0 B           0 B           0 B             1  
                                        model_inference        28.88%        2.356s       100.00%        8.159s        8.159s       0.000us         0.00%        3.254s        3.254s           0 B         -48 B           0 B    -683.99 GB             1  
                                           aten::matmul         0.58%      47.413ms         9.39%     765.746ms      30.147us       0.000us         0.00%        1.130s      44.473us           0 B           0 B     244.21 MB           0 B         25400  
                                               aten::mm         7.44%     607.358ms         8.69%     708.854ms      28.018us        1.129s        34.70%        1.129s      44.631us           0 B           0 B     244.16 MB     244.16 MB         25300  
                       triton_poi_fused_index_mul_sub_0         2.87%     234.207ms         5.09%     415.443ms      16.486us        1.013s        31.12%        1.013s      40.182us           0 B           0 B           0 B           0 B         25200  
                       triton_poi_fused_index_mul_sub_0         0.00%       0.000us         0.00%       0.000us       0.000us        1.013s        31.12%        1.013s      40.182us           0 B           0 B           0 B           0 B         25200  
                             Torch-Compiled Region: 0/8         4.95%     403.640ms         7.09%     578.636ms      80.366us       0.000us         0.00%     490.940ms      68.186us           0 B           0 B     337.50 GB     337.50 GB          7200  
Cijk_Ailk_Bljk_HHS_BH_MT64x64x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     363.624ms        11.18%     363.624ms      50.503us           0 B           0 B           0 B           0 B          7200  
Cijk_Ailk_Bljk_HHS_BH_MT64x64x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     293.379ms         9.02%     293.379ms      81.494us           0 B           0 B           0 B           0 B          3600  
                                              aten::mul         3.31%     270.164ms         5.04%     411.394ms       8.679us     282.301ms         8.68%     282.301ms       5.956us           0 B           0 B     356.70 MB     356.70 MB         47400  
