-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.00%       0.000us         0.00%       0.000us       0.000us        7.792s       242.60%        7.792s        7.792s           0 B           0 B           0 B           0 B             1  
                                        model_inference        28.65%        2.233s       100.00%        7.793s        7.793s       0.000us         0.00%        3.212s        3.212s           0 B         -80 B           0 B    -683.99 GB             1  
                                           aten::matmul         0.58%      45.246ms         9.40%     732.683ms      28.846us       0.000us         0.00%        1.121s      44.145us           0 B           0 B     244.21 MB           0 B         25400  
                                               aten::mm         7.45%     580.625ms         8.70%     677.990ms      26.798us        1.121s        34.90%        1.121s      44.302us           0 B           0 B     244.16 MB     244.16 MB         25300  
                       triton_poi_fused_index_mul_sub_0         2.89%     225.219ms         5.15%     400.983ms      15.912us        1.033s        32.17%        1.033s      40.995us           0 B           0 B           0 B           0 B         25200  
                       triton_poi_fused_index_mul_sub_0         0.00%       0.000us         0.00%       0.000us       0.000us        1.033s        32.17%        1.033s      40.995us           0 B           0 B           0 B           0 B         25200  
                             Torch-Compiled Region: 0/8         5.04%     392.561ms         7.21%     561.899ms      78.042us       0.000us         0.00%     489.588ms      67.998us           0 B           0 B     337.50 GB     337.50 GB          7200  
Cijk_Ailk_Bljk_HHS_BH_MT64x64x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     363.611ms        11.32%     363.611ms      50.502us           0 B           0 B           0 B           0 B          7200  
Cijk_Ailk_Bljk_HHS_BH_MT64x64x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     289.410ms         9.01%     289.410ms      80.392us           0 B           0 B           0 B           0 B          3600  
                                              aten::mul         3.25%     253.506ms         4.98%     387.909ms       8.184us     288.823ms         8.99%     288.823ms       6.093us           0 B           0 B     356.70 MB     356.70 MB         47400  
