-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.00%       0.000us         0.00%       0.000us       0.000us        4.676s       183.70%        4.676s        4.676s           0 B           0 B           0 B           0 B             1  
                                        model_inference        31.15%        1.457s       100.00%        4.678s        4.678s       0.000us         0.00%        2.546s        2.546s           0 B         -40 B           0 B      -1.96 GB             1  
                                           aten::matmul         2.55%     119.083ms        17.76%     830.736ms      32.706us       0.000us         0.00%        1.620s      63.766us           0 B           0 B     244.21 MB           0 B         25400  
                                           aten::linear         1.01%      47.326ms        21.14%     988.894ms      39.087us       0.000us         0.00%        1.619s      64.000us           0 B           0 B     244.16 MB           0 B         25300  
                                               aten::mm        10.89%     509.587ms        13.13%     614.365ms      24.283us        1.619s        63.60%        1.619s      64.000us           0 B           0 B     244.16 MB     244.16 MB         25300  
Cijk_Alik_Bljk_HHS_BH_MT64x64x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     841.845ms        33.07%     841.845ms     115.321us           0 B           0 B           0 B           0 B          7300  
Cijk_Alik_Bljk_HHS_BH_MT32x32x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     508.397ms        19.97%     508.397ms      70.611us           0 B           0 B           0 B           0 B          7200  
                                              aten::mul         5.26%     245.897ms         8.11%     379.272ms       8.002us     253.663ms         9.96%     253.663ms       5.352us           0 B           0 B     356.70 MB     356.70 MB         47400  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     137.670ms         5.41%     137.670ms       6.352us           0 B           0 B           0 B           0 B         21673  
