-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.00%       0.000us         0.00%       0.000us       0.000us       14.389s       156.70%       14.389s       14.389s           0 B           0 B           0 B           0 B             1  
                                        model_inference        28.49%        4.237s       100.00%       14.873s       14.873s       0.000us         0.00%        9.183s        9.183s           0 B         -48 B           0 B    -751.37 GB             1  
                             ScaledFakeQuantizeFunction         5.05%     751.058ms        40.81%        6.069s     104.998us       0.000us         0.00%        7.388s     127.812us           0 B           0 B     749.42 GB           0 B         57800  
                            quark::scaled_fake_quantize        13.66%        2.031s        35.76%        5.318s      92.004us       0.000us         0.00%        7.388s     127.812us           0 B           0 B     749.42 GB   -2622.95 GB         57800  
                                            aten::copy_         3.16%     469.821ms         6.05%     899.911ms       6.186us        3.110s        33.86%        3.110s      21.377us           0 B           0 B           0 B           0 B        145476  
                                               aten::to         1.40%     208.631ms        12.93%        1.922s       4.909us       0.000us         0.00%        3.109s       7.940us           0 B           0 B    1124.39 GB           0 B        391576  
                                         aten::_to_copy         3.14%     467.413ms        11.52%        1.714s      11.804us       0.000us         0.00%        3.109s      21.416us           0 B           0 B    1124.39 GB           0 B        145175  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us        2.162s        23.54%        2.162s      38.637us           0 B           0 B           0 B           0 B         55952  
                                              aten::div         3.86%     574.413ms         5.67%     842.955ms      14.584us        1.893s        20.61%        1.893s      32.743us           0 B           0 B     749.42 GB     749.42 GB         57800  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us        1.893s        20.61%        1.893s      33.824us           0 B           0 B           0 B           0 B         55952  
