-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.00%       0.000us         0.00%       0.000us       0.000us       16.911s       112.39%       16.911s       16.911s           0 B           0 B           0 B           0 B             1  
                                        model_inference        24.91%        4.213s       100.00%       16.912s       16.912s       0.000us         0.00%       15.047s       15.047s           0 B         -48 B           0 B    -751.37 GB             1  
                             ScaledFakeQuantizeFunction         4.43%     748.743ms        32.46%        5.489s      94.962us       0.000us         0.00%       13.054s     225.844us           0 B           0 B     749.42 GB           0 B         57800  
                            quark::scaled_fake_quantize        14.42%        2.438s        28.03%        4.740s      82.008us        7.760s        51.57%       13.054s     225.844us           0 B           0 B     749.42 GB   -3008.21 GB         57800  
void at::native::vectorized_elementwise_kernel<4, fa...         0.00%       0.000us         0.00%       0.000us       0.000us        7.760s        51.57%        7.760s     134.263us           0 B           0 B           0 B           0 B         57800  
                                            aten::copy_         3.37%     569.645ms         6.73%        1.138s       7.821us        5.356s        35.60%        5.356s      36.818us           0 B           0 B           0 B           0 B        145476  
                                               aten::to         1.25%     211.630ms        13.66%        2.310s       6.922us       0.000us         0.00%        5.355s      16.045us           0 B           0 B    2259.06 GB           0 B        333776  
                                         aten::_to_copy         2.98%     503.829ms        12.41%        2.099s      14.457us       0.000us         0.00%        5.355s      36.890us           0 B           0 B    2259.06 GB           0 B        145175  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us        2.751s        18.28%        2.751s      37.948us           0 B           0 B           0 B           0 B         72500  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        2.604s        17.30%        2.604s      35.914us           0 B           0 B           0 B           0 B         72500  
