-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.00%       0.000us         0.00%       0.000us       0.000us        6.783s       161.05%        6.783s        6.783s           0 B           0 B           0 B           0 B             1  
                                        model_inference        38.29%        2.598s       100.00%        6.785s        6.785s       0.000us         0.00%        4.212s        4.212s           0 B         -72 B           0 B    -751.41 GB             1  
                                            aten::copy_         3.44%     233.150ms         6.69%     453.630ms       8.222us        2.415s        57.34%        2.415s      43.769us           0 B           0 B           0 B           0 B         55176  
                                               aten::to         1.02%      69.270ms        12.92%     876.731ms       9.192us       0.000us         0.00%        2.414s      25.314us           0 B           0 B     749.49 GB           0 B         95376  
                                         aten::_to_copy         2.82%     191.410ms        11.90%     807.461ms      14.715us       0.000us         0.00%        2.414s      43.997us           0 B           0 B     749.49 GB           0 B         54875  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us        2.287s        54.31%        2.287s      90.413us           0 B           0 B           0 B           0 B         25300  
                                               aten::mm         8.32%     564.451ms         9.55%     648.244ms      25.622us     942.026ms        22.37%     942.026ms      37.234us           0 B           0 B     244.16 MB     244.16 MB         25300  
Cijk_Alik_Bljk_HHS_BH_MT64x64x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     471.079ms        11.18%     471.079ms      64.531us           0 B           0 B           0 B           0 B          7300  
                                              aten::mul         6.42%     435.496ms         9.45%     640.879ms       8.815us     308.665ms         7.33%     308.665ms       4.246us           0 B           0 B     600.86 MB     600.86 MB         72700  
Cijk_Alik_Bljk_HHS_BH_MT32x32x32_MI16x16x16x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us     281.314ms         6.68%     281.314ms      39.071us           0 B           0 B           0 B           0 B          7200  
