model exp input_tokens max_new_tokens avg_latency avg_throughput peak_gpu_mem
qwen3-4b none-quantization 3 50 1.3825 36.17 7.59
qwen3-4b none-quantization 3 100 2.7686 36.12 7.59
qwen3-4b none-quantization 26 50 1.3873 36.04 7.59
qwen3-4b none-quantization 26 100 2.7780 36.00 7.60
qwen3-4b torchao-int8 3 50 2.2752 21.98 5.27
qwen3-4b torchao-int8 3 100 4.5582 21.94 5.28
qwen3-4b torchao-int8 26 50 2.2819 21.91 5.28
qwen3-4b torchao-int8 26 100 4.5658 21.90 5.28
qwen3-4b gptq-int8 3 50 2.1793 22.95 4.29
qwen3-4b gptq-int8 3 100 4.4141 22.65 4.30
qwen3-4b gptq-int8 26 50 2.2079 22.65 4.30
qwen3-4b gptq-int8 26 100 4.4280 22.58 4.30
qwen3-4b gptq-int4 3 50 2.1213 23.57 2.59
qwen3-4b gptq-int4 3 100 4.2628 23.46 2.59
qwen3-4b gptq-int4 26 50 2.1427 23.34 2.59
qwen3-4b gptq-int4 26 100 4.2964 23.28 2.60
qwen3-4b bnb-int8 3 50 5.3468 9.36 4.16
qwen3-4b bnb-int8 3 100 10.7284 9.32 4.16
qwen3-4b bnb-int8 26 50 5.2587 9.51 4.16
qwen3-4b bnb-int8 26 100 10.5674 9.46 4.17
qwen3-4b quark-fp8 3 50 5.2000 9.62 9.71
qwen3-4b quark-fp8 3 100 10.4484 9.57 9.71
qwen3-4b quark-fp8 26 50 5.2525 9.52 9.71
qwen3-4b quark-fp8 26 100 10.5175 9.51 9.72
qwen3-4b quark-int8 3 50 7.9929 6.26 11.16
qwen3-4b quark-int8 3 100 16.1167 6.20 11.16
qwen3-4b quark-int8 26 50 8.0684 6.20 11.16
qwen3-4b quark-int8 26 100 16.1630 6.19 11.17
qwen3-4b quark-int4 3 50 7.9881 6.26 11.16
qwen3-4b quark-int4 3 100 16.0550 6.23 11.16
qwen3-4b quark-int4 26 50 8.0561 6.21 11.16
qwen3-4b quark-int4 26 100 16.1462 6.19 11.17
